RS1	RS2	RS3	sampleIDs	Pop
SPT35256	-0.186175473665857	-0.434618797958743	-0.22277325955489	SPT35256	Pop2015
SPT35257	0.830626706864071	0.254645068668895	0.568815136171595	SPT35257	Pop2015
SPT35258	0.559614856086269	-0.158737094072011	-0.118960397042276	SPT35258	Pop2015
SPT35260	1.08763425392448	3.15603931489317	-1.49869656399725	SPT35260	Pop2015
SPT35261	0.712566483324601	-0.304545075783896	-0.0657796953140739	SPT35261	Pop2015
SPT35262	0.853008068860201	1.56029122581722	-0.467395437520539	SPT35262	Pop2015
SPT35263	0.604289299587601	-0.675933769034625	1.06978733916721	SPT35263	Pop2015
SPT35264	0.808281876264549	0.433677379463675	0.0881525618195654	SPT35264	Pop2015
SPT35265	0.577772562388999	-0.00644457982453193	0.53537994264983	SPT35265	Pop2015
SPT35266	0.987548500416694	-1.99832349358628	-3.79605357916592	SPT35266	Pop2015
SPT35267	0.633465886169739	0.896312531040657	0.298431212881095	SPT35267	Pop2015
SPT35268	0.590354051168038	-0.248092469091786	0.43726956972184	SPT35268	Pop2015
SPT35269	0.475582782111735	0.0164134392642798	0.530294380898788	SPT35269	Pop2015
SPT35270	0.828069586197356	0.256139625374617	0.579941951357811	SPT35270	Pop2015
SPT35271	0.612618971696851	-0.460860865389609	-0.096434087118069	SPT35271	Pop2015
SPT35272	0.52644038013863	3.57124808833189	-1.44215175934574	SPT35272	Pop2015
SPT35274	0.601804673007951	0.126800347689252	0.708579372059438	SPT35274	Pop2015
SPT35275	0.598795119430971	-0.245090756061773	0.458206888817196	SPT35275	Pop2015
SPT35276	0.833183715493138	1.27944026530207	-1.02032274338595	SPT35276	Pop2015
SPT35278	0.765397070458229	-1.77014696039197	-0.836755478538809	SPT35278	Pop2015
SPT35279	-1.0534293569835	-0.105662701048473	0.255984282327915	SPT35279	Pop2015
SPT35280	0.550048927879385	-0.217715035810411	0.195477091485193	SPT35280	Pop2015
SPT35281	-0.669389428645708	0.206548437568677	0.330021551421155	SPT35281	Pop2015
SPT35282	-1.05710599865928	-0.737060967025127	2.06455481048293	SPT35282	Pop2015
SPT35283	0.679941164611586	0.10202623998907	1.28019593982794	SPT35283	Pop2015
SPT35284	-1.11225084445485	-1.21392368276823	-0.115718182179274	SPT35284	Pop2015
SPT35285	0.691276998513504	-0.433929785086565	0.53141814267927	SPT35285	Pop2015
